notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\\(\x03\x00\x89\xc9\x1f\td\xc3')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x00/\x00\\(\x03\x00\x12\x93\x1f\td\xc3')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xca\x052\x003L\x000\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\xb1(\x03\x00k\xcd \t\xa2\xca')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00\xb1(\x03\x00\xd6\x9a \t\xa2\xca')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xce\x05B\x00;L\x000\x00\xcc\x11')
Features,bytearray(b'\x86P\x00\x00\x0c \x00\x00')
Power,bytearray(b'\x00\x00\xa0\x0f\x01\x00')
Res,bytearray(b'\x00\x00\xc8\x00\x01\x00')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\x07)\x03\x00X\xd1 \t\xa2\xca')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00\x07)\x03\x00\xb0\xa2 \t\xa2\xca')
notify,00002ad2-0000-1000-8000-00805f9b34fb (Handle: 31): Indoor Bike Data,bytearray(b'T\x08\xcd\x05B\x00CL\x000\x00\xcc\x11')
notify,00002a5b-0000-1000-8000-00805f9b34fb (Handle: 13): CSC Measurement,bytearray(b'\x03\\)\x03\x00=\xd5!\tC\xd2')
notify,00002a63-0000-1000-8000-00805f9b34fb (Handle: 21): Cycling Power Measurement,bytearray(b'0\x000\x00\\)\x03\x00z\xaa!\tC\xd2')
